team,player1,player2,p1_pos,p2_pos,co_games,joi90,jdi90,offensive,defensive
Poland,Kamil Grosicki,Przemysław Frankowski,Substitute,Left Midfield,4,0.0,-3.353793,0.0,2.2074
Poland,Kamil Grosicki,Robert Gumny,Substitute,Substitute,4,0.0,-3.025902,0.0,3.2274
Poland,Kamil Grosicki,Robert Lewandowski,Substitute,Center Forward,4,-0.00475,-3.092105,0.0,3.0215
Poland,Kamil Grosicki,Sebastian Szymański,Substitute,Left Center Midfield,4,0.0,-3.224988,0.0,2.6081
Poland,Kamil Grosicki,Szymon Żurkowski,Substitute,Substitute,4,0.0,-3.025902,0.0,3.2274
Poland,Kamil Grosicki,Wojciech Szczęsny,Substitute,Goalkeeper,4,0.0,-3.073161,0.0,3.0804
Poland,Kamil Grosicki,Łukasz Skorupski,Substitute,Substitute,4,0.0,-3.025902,0.0,3.2274
Poland,Karol Świderski,Krzysztof Piątek,Substitute,Substitute,4,0.0,-3.009616,0.0,3.2781
Poland,Karol Świderski,Mateusz Wieteska,Substitute,Substitute,4,0.0,-3.00927,0.0,3.2792
Poland,Karol Świderski,Michał Skóraś,Substitute,Substitute,4,0.0,-3.187495,0.0,2.7247
Poland,Karol Świderski,Nicola Zalewski,Substitute,Left Midfield,4,0.0,-3.218572,0.0,2.6281
Poland,Karol Świderski,Robert Gumny,Substitute,Substitute,4,0.0,-3.00927,0.0,3.2792
Poland,Karol Świderski,Robert Lewandowski,Substitute,Center Forward,4,0.0,-3.075473,0.0,3.0732
Poland,Karol Świderski,Sebastian Szymański,Substitute,Left Center Midfield,4,0.0,-3.208356,0.0,2.6598
Poland,Karol Świderski,Szymon Żurkowski,Substitute,Substitute,4,0.0,-3.00927,0.0,3.2792
Poland,Karol Świderski,Wojciech Szczęsny,Substitute,Goalkeeper,4,0.0,-3.056528,0.0,3.1321
Poland,Karol Świderski,Łukasz Skorupski,Substitute,Substitute,4,0.0,-3.00927,0.0,3.2792
Poland,Krystian Bielik,Krzysztof Piątek,Left Defensive Midfield,Substitute,4,0.006528,-3.340905,0.2379,2.2475
Poland,Krystian Bielik,Mateusz Wieteska,Left Defensive Midfield,Substitute,4,0.0,-3.340559,0.0,2.2486
Poland,Krystian Bielik,Michał Skóraś,Left Defensive Midfield,Substitute,4,0.0,-3.518784,0.0,1.6942
Poland,Krystian Bielik,Nicola Zalewski,Left Defensive Midfield,Left Midfield,4,0.061198,-3.549861,2.2301,1.5975
Poland,Krystian Bielik,Robert Gumny,Left Defensive Midfield,Substitute,4,0.0,-3.340559,0.0,2.2486
Poland,Krystian Bielik,Sebastian Szymański,Left Defensive Midfield,Left Center Midfield,4,0.0,-3.539645,0.0,1.6293
Poland,Krystian Bielik,Szymon Żurkowski,Left Defensive Midfield,Substitute,4,0.0,-3.340559,0.0,2.2486
Poland,Krystian Bielik,Łukasz Skorupski,Left Defensive Midfield,Substitute,4,0.0,-3.340559,0.0,2.2486
Poland,Krzysztof Piątek,Mateusz Wieteska,Substitute,Substitute,4,0.0,-2.889429,0.0,3.652
Poland,Krzysztof Piątek,Matty Cash,Substitute,Right Back,4,0.0,-3.164406,0.0,2.7966
Poland,Krzysztof Piątek,Michał Skóraś,Substitute,Substitute,4,0.0,-3.067654,0.0,3.0975
Poland,Krzysztof Piątek,Nicola Zalewski,Substitute,Left Midfield,4,0.0,-3.098731,0.0,3.0009
